,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2015,290.18152
1,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2016,290.90625
2,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2017,290.76505
3,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2018,290.20554
4,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2019,290.25208
5,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2020,290.58932
6,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2021,291.19724
7,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2022,290.8404
8,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2023,290.6351
9,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2024,290.3564
10,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2025,290.6186
11,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2026,291.16464
12,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2027,291.54828
13,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2028,291.27774
14,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2029,290.74118
15,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2030,290.68704
16,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2031,290.84567
17,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2032,291.1477
18,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2033,291.56802
19,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2034,291.0361
20,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2035,291.01132
21,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2036,291.1517
22,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2037,291.08954
23,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2038,291.5846
24,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2039,291.1921
25,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2040,290.90268
26,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2041,290.96497
27,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2042,291.34763
28,tas,ssp119,K,mon,r2i1p1f2,MIROC-ES2L,2043,291.51114
