,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2015,291.66583
1,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2016,291.51205
2,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2017,291.73117
3,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2018,291.47647
4,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2019,291.46945
5,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2020,291.66574
6,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2021,291.8756
7,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2022,291.8168
8,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2023,291.60507
9,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2024,291.81204
10,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2025,291.9082
11,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2026,291.91055
12,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2027,291.7836
13,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2028,291.7795
14,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2029,291.89032
15,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2030,291.9399
16,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2031,292.5165
17,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2032,292.07202
18,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2033,291.71143
19,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2034,291.79813
20,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2035,291.96817
21,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2036,292.44974
22,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2037,292.55923
23,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2038,291.76
24,tas,ssp245,K,mon,r18i1p1f1,MIROC6,2039,291.8607
