,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,historical,K,mon,r31i1p1f1,MIROC6,1850,290.5535
1,tas,historical,K,mon,r31i1p1f1,MIROC6,1851,290.88498
2,tas,historical,K,mon,r31i1p1f1,MIROC6,1852,290.65042
3,tas,historical,K,mon,r31i1p1f1,MIROC6,1853,290.18942
4,tas,historical,K,mon,r31i1p1f1,MIROC6,1854,290.09683
5,tas,historical,K,mon,r31i1p1f1,MIROC6,1855,290.0237
6,tas,historical,K,mon,r31i1p1f1,MIROC6,1856,290.09753
7,tas,historical,K,mon,r31i1p1f1,MIROC6,1857,290.8905
8,tas,historical,K,mon,r31i1p1f1,MIROC6,1858,290.91165
9,tas,historical,K,mon,r31i1p1f1,MIROC6,1859,289.97293
10,tas,historical,K,mon,r31i1p1f1,MIROC6,1860,289.98917
11,tas,historical,K,mon,r31i1p1f1,MIROC6,1861,290.2112
12,tas,historical,K,mon,r31i1p1f1,MIROC6,1862,290.24466
13,tas,historical,K,mon,r31i1p1f1,MIROC6,1863,290.0427
14,tas,historical,K,mon,r31i1p1f1,MIROC6,1864,290.13364
15,tas,historical,K,mon,r31i1p1f1,MIROC6,1865,290.2429
16,tas,historical,K,mon,r31i1p1f1,MIROC6,1866,289.97205
17,tas,historical,K,mon,r31i1p1f1,MIROC6,1867,289.88846
18,tas,historical,K,mon,r31i1p1f1,MIROC6,1868,290.33295
19,tas,historical,K,mon,r31i1p1f1,MIROC6,1869,290.39896
20,tas,historical,K,mon,r31i1p1f1,MIROC6,1870,290.18832
21,tas,historical,K,mon,r31i1p1f1,MIROC6,1871,290.32382
22,tas,historical,K,mon,r31i1p1f1,MIROC6,1872,290.6156
23,tas,historical,K,mon,r31i1p1f1,MIROC6,1873,290.40897
24,tas,historical,K,mon,r31i1p1f1,MIROC6,1874,290.0897
25,tas,historical,K,mon,r31i1p1f1,MIROC6,1875,290.07352
26,tas,historical,K,mon,r31i1p1f1,MIROC6,1876,290.305
27,tas,historical,K,mon,r31i1p1f1,MIROC6,1877,290.3283
28,tas,historical,K,mon,r31i1p1f1,MIROC6,1878,290.49753
29,tas,historical,K,mon,r31i1p1f1,MIROC6,1879,290.38104
30,tas,historical,K,mon,r31i1p1f1,MIROC6,1880,290.28207
31,tas,historical,K,mon,r31i1p1f1,MIROC6,1881,290.20822
32,tas,historical,K,mon,r31i1p1f1,MIROC6,1882,290.01688
33,tas,historical,K,mon,r31i1p1f1,MIROC6,1883,290.18246
34,tas,historical,K,mon,r31i1p1f1,MIROC6,1884,289.8316
35,tas,historical,K,mon,r31i1p1f1,MIROC6,1885,290.21042
36,tas,historical,K,mon,r31i1p1f1,MIROC6,1886,290.1476
37,tas,historical,K,mon,r31i1p1f1,MIROC6,1887,290.08612
38,tas,historical,K,mon,r31i1p1f1,MIROC6,1888,290.07803
39,tas,historical,K,mon,r31i1p1f1,MIROC6,1889,290.194
40,tas,historical,K,mon,r31i1p1f1,MIROC6,1890,290.25116
41,tas,historical,K,mon,r31i1p1f1,MIROC6,1891,290.06482
42,tas,historical,K,mon,r31i1p1f1,MIROC6,1892,289.9756
43,tas,historical,K,mon,r31i1p1f1,MIROC6,1893,290.19717
44,tas,historical,K,mon,r31i1p1f1,MIROC6,1894,290.55746
45,tas,historical,K,mon,r31i1p1f1,MIROC6,1895,290.41602
46,tas,historical,K,mon,r31i1p1f1,MIROC6,1896,290.59604
47,tas,historical,K,mon,r31i1p1f1,MIROC6,1897,290.9565
48,tas,historical,K,mon,r31i1p1f1,MIROC6,1898,290.35284
49,tas,historical,K,mon,r31i1p1f1,MIROC6,1899,290.28806
50,tas,historical,K,mon,r31i1p1f1,MIROC6,1900,290.17154
51,tas,historical,K,mon,r31i1p1f1,MIROC6,1901,290.05948
52,tas,historical,K,mon,r31i1p1f1,MIROC6,1902,289.84454
53,tas,historical,K,mon,r31i1p1f1,MIROC6,1903,289.82986
54,tas,historical,K,mon,r31i1p1f1,MIROC6,1904,290.25897
55,tas,historical,K,mon,r31i1p1f1,MIROC6,1905,290.59244
56,tas,historical,K,mon,r31i1p1f1,MIROC6,1906,290.2679
57,tas,historical,K,mon,r31i1p1f1,MIROC6,1907,289.73358
58,tas,historical,K,mon,r31i1p1f1,MIROC6,1908,290.16415
59,tas,historical,K,mon,r31i1p1f1,MIROC6,1909,290.4382
60,tas,historical,K,mon,r31i1p1f1,MIROC6,1910,290.42896
61,tas,historical,K,mon,r31i1p1f1,MIROC6,1911,290.4479
62,tas,historical,K,mon,r31i1p1f1,MIROC6,1912,290.0953
63,tas,historical,K,mon,r31i1p1f1,MIROC6,1913,290.15
64,tas,historical,K,mon,r31i1p1f1,MIROC6,1914,290.05908
65,tas,historical,K,mon,r31i1p1f1,MIROC6,1915,290.3833
66,tas,historical,K,mon,r31i1p1f1,MIROC6,1916,290.4115
67,tas,historical,K,mon,r31i1p1f1,MIROC6,1917,290.47507
68,tas,historical,K,mon,r31i1p1f1,MIROC6,1918,290.62164
69,tas,historical,K,mon,r31i1p1f1,MIROC6,1919,290.41028
70,tas,historical,K,mon,r31i1p1f1,MIROC6,1920,290.31738
71,tas,historical,K,mon,r31i1p1f1,MIROC6,1921,290.57327
72,tas,historical,K,mon,r31i1p1f1,MIROC6,1922,290.5859
73,tas,historical,K,mon,r31i1p1f1,MIROC6,1923,290.38083
74,tas,historical,K,mon,r31i1p1f1,MIROC6,1924,290.36227
