,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2095,123.004425
1,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2096,122.91861
2,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2097,122.84391
3,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2098,122.84982
4,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2099,122.95977
5,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2100,122.9762
6,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2075,123.05656
7,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2076,123.17529
8,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2077,123.11764
9,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2078,123.20051
10,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2079,123.06226
11,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2080,123.05206
12,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2081,123.141045
13,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2082,123.108894
14,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2083,123.1076
15,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2084,123.210594
16,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2085,123.02378
17,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2086,123.07816
18,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2087,122.97391
19,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2088,123.02887
20,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2089,123.05511
21,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2090,122.988716
22,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2091,123.01374
23,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2092,123.027466
24,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2093,123.082375
25,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2094,122.934425
26,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2055,123.045006
27,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2056,123.28242
28,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2057,123.14486
29,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2058,123.16979
30,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2059,122.97427
31,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2060,123.08024
32,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2061,123.26676
33,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2062,123.18514
34,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2063,123.123695
35,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2064,123.15572
36,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2065,123.20789
37,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2066,123.35395
38,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2067,123.138405
39,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2068,123.03
40,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2069,123.0632
41,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2070,123.00962
42,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2071,123.074646
43,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2072,123.12518
44,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2073,123.09078
45,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2074,123.16669
46,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2015,122.76629
47,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2016,122.69305
48,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2017,122.8856
49,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2018,122.870094
50,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2019,122.8945
51,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2020,122.8792
52,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2021,122.79179
53,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2022,122.75357
54,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2023,122.87891
55,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2024,122.746765
56,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2025,122.93995
57,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2026,122.8702
58,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2027,122.982605
59,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2028,122.9163
60,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2029,122.8343
61,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2030,122.97242
62,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2031,122.94628
63,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2032,122.95783
64,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2033,123.01693
65,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2034,123.04302
66,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2035,123.03178
67,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2036,123.19134
68,tas,ssp126,K,mon,r9i1p1f1,MPI-ESM1-2-LR,2037,122.90659
