,variable,experiment,units,frequency,ensemble,model,year,value
0,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1850,289.0853
1,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1851,289.92453
2,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1852,290.4954
3,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1853,290.90323
4,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1854,291.55093
5,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1855,291.5858
6,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1856,291.57526
7,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1857,291.62753
8,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1858,291.70828
9,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1859,291.94583
10,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1860,292.10254
11,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1861,291.97556
12,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1862,292.04892
13,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1863,292.35803
14,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1864,292.3994
15,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1865,292.14996
16,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1866,292.25073
17,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1867,292.53647
18,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1868,292.69144
19,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1869,292.35184
20,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1870,292.4384
21,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1871,292.43097
22,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1872,292.53195
23,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1873,292.78824
24,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1874,292.60498
25,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1875,292.78574
26,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1876,292.56805
27,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1877,292.57535
28,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1878,292.58188
29,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1879,292.44077
30,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1880,292.65964
31,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1881,292.51413
32,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1882,292.8143
33,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1883,292.551
34,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1884,292.34668
35,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1885,292.7156
36,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1886,292.7773
37,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1887,292.4597
38,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1888,292.61423
39,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1889,292.74905
40,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1890,292.77237
41,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1891,292.61465
42,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1892,292.83286
43,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1893,292.66086
44,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1894,292.623
45,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1895,292.50092
46,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1896,292.75568
47,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1897,292.70175
48,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1898,292.58792
49,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1899,292.6679
50,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1900,292.78976
51,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1901,292.70383
52,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1902,292.62534
53,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1903,292.5532
54,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1904,292.82755
55,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1905,292.86124
56,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1906,292.77298
57,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1907,292.6565
58,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1908,292.77695
59,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1909,292.87323
60,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1910,292.8569
61,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1911,292.4984
62,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1912,292.58957
63,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1913,292.65244
64,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1914,292.59818
65,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1915,292.69696
66,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1916,292.88486
67,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1917,292.5913
68,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1918,292.60806
69,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1919,292.87143
70,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1920,292.87537
71,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1921,292.96664
72,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1922,292.99258
73,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1923,292.6804
74,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1924,292.8881
75,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1925,292.79916
76,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1926,292.58044
77,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1927,293.08298
78,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1928,292.62833
79,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1929,292.6596
80,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1930,292.83304
81,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1931,292.79172
82,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1932,293.00504
83,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1933,293.06543
84,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1934,292.7792
85,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1935,292.74152
86,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1936,293.30936
87,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1937,292.85117
88,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1938,292.96545
89,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1939,292.8491
90,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1940,293.21567
91,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1941,292.7932
92,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1942,293.04666
93,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1943,292.83508
94,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1944,293.1089
95,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1945,292.9919
96,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1946,293.3793
97,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1947,293.0595
98,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1948,293.09464
99,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1949,293.20682
100,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1950,292.91165
101,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1951,293.16922
102,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1952,293.17923
103,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1953,293.0457
104,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1954,293.47476
105,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1955,293.1675
106,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1956,293.02414
107,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1957,293.41602
108,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1958,293.10526
109,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1959,293.4041
110,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1960,293.31802
111,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1961,293.1144
112,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1962,293.39767
113,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1963,293.16565
114,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1964,292.9706
115,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1965,293.19247
116,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1966,293.21744
117,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1967,293.40598
118,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1968,293.6415
119,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1969,293.13647
120,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1970,293.25894
121,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1971,293.31207
122,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1972,293.07724
123,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1973,293.16434
124,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1974,293.3716
125,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1975,293.35785
126,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1976,293.4352
127,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1977,293.6217
128,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1978,293.6229
129,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1979,293.29916
130,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1980,293.4826
131,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1981,293.7081
132,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1982,293.16745
133,tas,abrupt-4xCO2,K,mon,r4i1p1f1,MRI-ESM2-0,1983,293.42175
